Find,Replace
Bosnia Herzegovina,Bosnia and Herzegovina
Britain,United Kingdom
Czech Rep,Czech Republic
Czech Rep.,Czech Republic
Czech Republic.,Czech Republic
Czech Republicublic,Czech Republic
Congo (Brazzaville),"Congo, Rep."
Congo (Kinshasa),"Congo, Dem. Rep."
Egypt,"Egypt, Arab Rep."
Ethiopia (Non-national sample),Ethiopia
Gambia,"Gambia, The"
Hong Kong,"Hong Kong SAR, China"
Hong Kong SAR,"Hong Kong SAR, China"
Hong Kong S.A.R. of China,"Hong Kong SAR, China"
Iran,"Iran, Islamic Rep."
Ivory Coast,Côte d'Ivoire
Kyrgyzstan,Kyrgyz Republic
Laos,Lao PDR
Macau SAR,"Macao SAR, China"
Palestine,West Bank and Gaza
Palestinian Territories,West Bank and Gaza
Palest. ter.,West Bank and Gaza
Russia,Russian Federation
S. Africa,South Africa
S. Korea,"Korea, Rep."
Slovakia,Slovak Republic
Somaliland region,Somalia
South Korea,"Korea, Rep."
Swaziland,Eswatini
Syria,Syrian Arab Republic
Venezuela,"Venezuela, RB"
Yemen,"Yemen, Rep."
